,0
0,zoom enable waiting rooms default stop zoombombing techcrunch
1,zoom making drastic changes prevent rampant abuse trolls attack publicly-shared video calls .
2,zmurl.com covered .
3,zmurl customizes zoom link previews images & event sites techcrunch sick sharing generic zoom video call invites look
4,know curve .
5,know curve .
6,yet still season big expectations big victories big accomplishments .
7,"700,000 jobs lost march data unemployment united states rose 3.5 % 4.4 % ."
8,wish zoom link previews headline image actually described meeting
9,wild places nature must restored not conserved new head wildlife trusts said takes role .
10,matters : pressure planned monday meeting opec producing nations strike deal absent big action
11,whitmer\s administration classified lawn care landscaping work non-essential meaning
12,covid-19 delays wedding couples often told prepare anything comes wedding global pandemic isnt typically something consider .
13,want protect zoom calls trolls making attendees rsvp get link
14,walmart limit number people shopping one time coronavirus walmart saturday begin limiting many people allowed inside stores one time reducing capacity roughly 20 % way enforce social distancing .
15,walmart limit number people shopping one time coronavirus walmart saturday begin limiting many people allowed inside stores one time reducing capacity roughly 20 % way enforce social distancing .
16,walmart limit number people shopping one time coronavirus woman loads groceries vehicle outside walmart store pearl miss. march 31 .
17,virus sees corona beer halt production ongoing coronavirus pandemic forced major closures across globe closed taps corona beer well shutting several breweries across mexico .
18,videos went viral social media friday showing hundreds sailors gathered
19,video : shefali covers face plastic bag thursday 26 march 2020 bollywood celebrities bit spread awareness coronavirus outbreak .
20,"vgs family fare owner offering pay raise bonuses employees mid-michigan wjrt 4/3/2020 spartannash offering weekly bonuses temporary pay raise 16,000 employees coronavirus pandemic ."
21,unfortunately times changing try ride waves global pandemic .
22,uk investigators go fake coronavirus medicines british authorities said saturday clamping bogus cures coronavirus currently no specific licensed treatment.the medicines healthcare products regulatory agency mhra said investigating 14 fake unlicensed products treat covid-19
23,uchicago students threaten tuition strike want rate cut 50 % coronavirus pandemic students university chicago threatening withhold spring quarter tuition unless university agrees negotiate tuition rates offer students look universitys budget .
24,u.s .
25,two cops injured attacked people caught breaking coronavirus lockdown order rangpar village padadhari taluka rajkot district
26,trump speaks mail-in voting novembers election president donald trump said opposes mail-in voting november\s general election shutting concerns coronavirus pandemic would keep people away polls .
27,trump reluctant intervene imploding oil market president trump indicated friday hes unlikely take major steps prop oil prices help industry imploding coronavirus chokes oil demand .
28,trump hosted white house
29,trump considers shutting flights coronavirus hot spots number deaths coronavirus u.s. doubled three days .
30,trump aims ease u.s. oil industrys cash crunch no plan trim output : sources reuters u.s. president donald trump directed cabinet find ways ease cash crunch drilling industry oil company executives told friday meeting among top concerns according three sources briefed matter .
31,trump admin tries narrow stockpiles role states lemonwire washington ap trump administration friday abruptly changed description strategic national stockpile put forward narrower vision role federal governmentãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s repository life-saving medicines equipment play supplying states needs .
32,tone-deaf tuned-in
33,tone-deaf tuned-in
34,today one biggest
35,support mercury subscribe : 10.58am : watch live : government delivers daily virus update 9.47am :
36,make happen kids need computers
37,though sudden switch homeschooling certainly challenges also opportunity kids dive deep
38,morning representative brand confirmed acclaimed shoe designer sergio rossi passed away thursday april 2nd cesena italy .
39,covid-19 changed global shopping behaviour orissapost san francisco : widespread restrictions due covid-19 pandemic changed shopping behaviour dramatically many people stocking hand sanitisers toilet papers shelters across us running pets adopt consumers take comfort new companion said new
40,breaking news update .
41,coronavirus article unlocked free read interest community health safety .
42,things working .
43,things working .
44,nashville tenn. fundraiser fisk university last fall .
45,university mississippi medical center jackson asked high volatge laboratory mississippi state university retrofit 300 ventilators said lab manager david
46,shadow brexit secretary
47,retail giant joins target costo supermarket chains deciding count restrict number visitors
48,retail giant joins target costo supermarket chains deciding count restrict number visitors
49,recent federal stimulus bills good starts washington state\s lawmakers also need
50,passing
51,pandemic already reshaping techs misinformation crisis techcrunch since 2016 social media companies faced endless barrage bad press public criticism failing anticipate platforms could used dark purposes scale populations -- undermining democracies around world say sowing social division even fueling
52,one positive week may markets didnt perform even worse thanks part surge oil prices .
53,oklahoma city-based company said statement furloughing store employees many corporate
54,oklahoma city-based company said statement furloughing store employees many
55,oklahoma city-based company said statement furloughing store employees many
56,number deaths 15 one day .
57,new coronavirus causes mild moderate symptoms people
58,national weather service uses 250 million measurements
59,markets bracing widespread job losses due
60,main issue hand severe shortage n95 masks help protect medical professionals like doctors nurses acquiring coronavirus .
